Word,Wordcount
rinta,6
kutsui,6
useinkin,6
ylhäällä,6
heiltä,6
vesi,6
kettu,6
kuoppaan,6
kohisi,6
muu,6
itses,6
nuorukaisen,6
sellaista,6
sydämessä,6
veriseen,6
immen,6
sade,6
huokaili,6
nuorta,6
rangaistuksen,6
lempeä,6
talvella,6
suurta,6
tuleen,6
väkeä,6
vilauksessa,6
huutaen,6
hii,6
haa,6
tulessa,6
siunatkoon,6
luonto,6
ukkonen,6
samaan,6
kotoansa,6
vartomaan,6
kuninkalan,6
kiukaan,6
kiljuva,6
paita,6
ruumis,6
kantoi,6
kuivan,6
vaara,6
näit,6
vikkelä,6
kenenkään,6
tehneet,6
tietää,6
ehtimiseen,6
kuinkas,6
luja,6
viisautta,6
yhteinen,6
tervehtimään,6
apua,6
maksaa,6
puoleksi,6
läpeä,6
sydämemme,6
muutkin,6
tulevan,6
mekin,6
mieltä,6
valkon,6
pohjaan,6
impivaara,6
kirmasi,6
kiitivät,6
ainiaaksi,6
teerimäen,6
visusti,6
aho,6
sata,6
liekki,6
kaikuu,6
äänensä,6
säteili,6
askeleen,6
viimeiseen,6
kädet,6
vuorella,6
nouse,6
aatoksensa,6
kierteli,6
vuorelle,6
tästäpä,6
arvellen,6
osaa,6
otamme,6
naamaa,6
varoten,6
pirtistä,6
timoa,6
vihaisena,6
hiljainen,6
joulu,6
huuda,6
tuomasta,6
heleijaa,6
tappelus,6
vuodessa,6
lyötiin,6
fralla,6
matti,6
kerkeästi,6
viritti,6
lumessa,6
kajasti,6
kummallista,6
tukkaansa,6
kerta,6
juosten,6
kauhistava,6
pakkanen,6
pohjolan,6
pohjonen,6
heittivät,6
kuusten,6
ohitsensa,6
hännät,6
tulisijan,6
miten,6
reunaa,6
heiskanen,6
haltuun,6
taatto,6
tuvan,6
ryyppy,6
isänsä,6
möräten,6
nimi,6
suureen,6
mieleeni,6
karkkulan,6
kysyi,6
kiveltä,6
harmaa,6
oppinut,6
hampaissa,6
kätensä,6
kiireesti,6
myhäillen,6
aatteli,6
heikka,6
mörökölli,6
parhaiten,6
kasakoita,6
alussa,6
jukolasta,6
taakseen,6
totisena,6
rahilla,6
kallista,6
naiset,6
ha,6
havutukin,6
kestiin,6
tulitakan,6
rinteellä,5
ensimmäisen,5
pitäen,5
vanhimman,5
harteva,5
merkitsee,5
kaatanut,5
lähestyä,5
kaikille,5
vilpitön,5
poikien,5
pimeät,5
asioita,5
kaikella,5
riihen,5
veljestä,5
pyöri,5
pimeässä,5
tyytyväisinä,5
ärhenteli,5
kääntyivät,5
rastiin,5
muodon,5
ensimmäisenä,5
mäelle,5
sammaleisella,5
nauriita,5
sielun,5
aattelee,5
ottamaan,5
karjaa,5
synnin,5
syntiä,5
jokin,5
kaikkialta,5
ette,5
käänsi,5
kasvoiltansa,5
varustettuna,5
poski,5
kodon,5
tapahtuipa,5
kuollut,5
tälle,5
pitäjän,5
oikeinpa,5
tavallista,5
hurja,5
päivään,5
elämää,5
hurjasti,5
karja,5
nouskoon,5
jokaisen,5
syömme,5
vaatteet,5
ruoka,5
kannalta,5
yksikään,5
hevosta,5
järkevästi,5
nahkapeitturille,5
vuodeksi,5
vuosien,5
verinen,5
travia,5
kuullellen,5
sinäkö,5
kurjet,5
totuuden,5
ihanan,5
peloittavalla,5
asiat,5
mustassa,5
juurta,5
sarvipää,5
oliskin,5
emäntää,5
savua,5
otsaltansa,5
vartoo,5
huoli,5
mieleni,5
vanhat,5
sydämmeni,5
vuosia,5
otan,5
veitsi,5
seison,5
sivulle,5
silmäs,5
nurkassa,5
halkoja,5
kouraani,5
peto,5
kohtuus,5
rakkauden,5
kielellä,5
jolle,5
hänkin,5
huutain,5
joihin,5
riita,5
sappi,5
nurkasta,5
ethän,5
vietävät,5
koske,5
häneen,5
kumminkin,5
mielen,5
menen,5
sateessa,5
varma,5
oppia,5
harmaan,5
tuuma,5
muotonsa,5
kiusan,5
myöhään,5
tahdotte,5
jätämme,5
unen,5
helvetti,5
mäkeä,5
olisin,5
olethan,5
jälkeensä,5
hikoilee,5
vaelsivat,5
eivätkä,5
uskaltanut,5
syvimmässä,5
tyynen,5
ehdittyänsä,5
laski,5
lunttu,5
auttanut,5
kaikua,5
lainehtii,5
kuiskaa,5
töitä,5
saan,5
siivo,5
silmissä,5
lysti,5
iloista,5
tietty,5
päissään,5
laulaa,5
jalo,5
kahdenpuolen,5
kesti,5
uusia,5
silmistänsä,5
jälkiä,5
terveisiä,5
sepä,5
tahtonut,5
muistelivat,5
syljeskellen,5
aapeli,5
hunsvotti,5
niskoilla,5
sielunsa,5
tekis,5
tervaskanto,5
tahtoisin,5
kulkeissansa,5
näen,5
hirvittävä,5
sammaleisessa,5
katselee,5
piian,5
uskomme,5
juhania,5
vanhasta,5
paukahtaa,5
armaat,5
pullistuivat,5
vihoissansa,5
kivet,5
katosivat,5
kirmasivat,5
maalle,5
hongiston,5
istua,5
kannan,5
frallaralla,5
rallaralla,5
rallarallalaa,5
tässähän,5
perhe,5
pienestä,5
pikiä,5
iloisina,5
vapauden,5
pedot,5
huulet,5
äijä,5
ensinkään,5
rämeitä,5
etsien,5
vaikene,5
kurkkuun,5
karvainen,5
saatpa,5
kivestä,5
oleppas,5
minäkö,5
